Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
AUDI,Q2,AUDI Q2 design edition 1.4 TFSI COD S tronic 5p.,21490,Gasolina,2017-01-01,79999.0,150,5,Manual,Blanco,Flexicar Valencia
KIA,ceed,KIA ceed 1.4 CRDi WGT 90cv Concept 5p.,10900,Diésel,2016-01-01,54327.0,90,5,Manual,Gris,AUTOBECO (SEAT)
FIAT,Tipo,FIAT Tipo 1.6 Lounge 88kW 120CVdiesel Mjet II SW 5p.,12450,Diésel,2018-01-01,41844.0,120,5,Manual,Marrón,Traverauto.
VOLKSWAGEN,Touran,VOLKSWAGEN Touran Business 1.6 TDI 85kW 115CV DSG 5p.,16900,Diésel,2017-01-01,88905.0,115,5,Automático,Gris,Automotor Hnos. Marín s.l.
CITROEN,C4 Spacetourer,CITROEN C4 Spacetourer BlueHDi 88KW 120CV Shine 5p.,21900,Diésel,2018-01-01,13638.0,120,5,Manual,Rojo,Auto Almogàvers
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 CDI 5p.,15000,Diésel,2013-01-01,47000.0,109,5,Automático,Blanco,2f5ebb0642cfa2a25af21fac655b30eb
BMW,Serie 5,BMW Serie 5 520D 4p.,28900,Diésel,2017-01-01,55962.0,190,5,Manual,Gris,Avilcar
VOLKSWAGEN,Caddy,VOLKSWAGEN Caddy Furgon 2.0 TDI SCR BMT 102CV,10910,Diésel,2016-01-01,80743.0,102,5,Manual,Blanco,HR Motor Madrid
SEAT,León,SEAT Leon 1.5 TSI 96kW 130CV SS Style Visio Ed 5p.,13850,Gasolina,2019-01-01,74000.0,130,5,Manual,Blanco,CSV Motor
AUDI,Q7,AUDI Q7 3.0 TDI quattro tiptronic 5p.,59900,Diésel,2018-01-01,40000.0,272,5,Automático,SinColor,Luxury Motor
TOYOTA,Auris,TOYOTA Auris 1.8 140H Hybrid Feel 5p.,12500,Híbrido,2016-01-01,85000.0,136,5,Automático,Gris,Gestión Directa de Vehículos
FIAT,Doblò,FIAT Doblò Panorama Dynamic 1.6 Multijet 90 MTA E5 5p.,6750,Diésel,2014-01-01,114563.0,90,5,Manual,Rojo,3d9a7a14479866c3c44830a39c831bf2
NISSAN,QASHQAI,NISSAN QASHQAI dCi 96 kW 130 CV NCONNECTA 5p.,20300,Diésel,2018-01-01,10000.0,130,5,Manual,Azul,Vanauto
BMW,Serie 3,BMW Serie 3 318d Touring 5p.,16950,Diésel,2015-01-01,85000.0,143,5,Manual,Blanco,4e8e3b5e6cd4821f359c07728949dd5c
PEUGEOT,208,PEUGEOT 208 5P STYLE 1.6 BlueHDi 55KW 75CV 5p.,10600,Diésel,2017-01-01,91616.0,75,5,Manual,Gris,LOVE CARS
SSANGYONG,Korando,SSANGYONG Korando G15T Urban 5p.,22800,Gasolina,2020-01-01,20.0,163,5,Manual,Negro,Cabanas Motor
VOLKSWAGEN,Scirocco,VOLKSWAGEN Scirocco Typhoon by RLine 1.4 TSI 92kW 125CV 3p.,18500,Gasolina,2017-01-01,70000.0,125,3,Manual,Azul,c93734f252a1f5b0294e69d3a9a7ab8f
SEAT,León,SEAT Leon ST 1.2 TSI 110cv StSp Reference 5p.,7290,Gasolina,2015-01-01,44000.0,110,5,Manual,Azul,Autos Roso
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.0 TSI 85kW 115CV 5p.,15990,Gasolina,2018-01-01,82000.0,115,5,Manual,Blanco,Parla Motor
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 CRDI 85kW 116CV SLE 4X2 5p.,25750,Diésel,2020-01-01,18.0,116,5,Manual,Blanco,Hyundai Leuka Car Alicante / Grupo Marcos
OPEL,Mokka X,OPEL Mokka X 1.4 T 103kW 4X2 SS Innovation 5p.,16900,Gasolina,2019-01-01,57000.0,140,5,Manual,Blanco,Martinsa Motor
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.4 TSI 92kW 125CV DSG 5p.,15400,Gasolina,2017-01-01,65000.0,125,5,Automático,Rojo,Marbesol Venta
BMW,Serie 5,BMW Serie 5 535dA 4p.,23990,Diésel,2013-01-01,109990.0,313,5,Automático,Negro,Flexicar Valencia
PORSCHE,911,PORSCHE 911 Speedster 2p.,410000,Gasolina,2019-01-01,150.0,510,3,Manual,Gris,Centro Porsche Girona
BMW,X6,BMW X6 xDrive30d 5p.,55490,Diésel,2018-01-01,26391.0,258,5,Automático,Gris,Flexicar Leganés
CITROEN,Jumpy,CITROEN Jumpy Talla M BlueHDi 85KW 115CV 6v Confort,16499,Diésel,2018-01-01,37000.0,115,5,Manual,Blanco,AMG AUTOMOVILES
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS C Series 5p.,26750,Diésel,2021-01-01,0.0,131,5,Manual,Gris,Gidecar
FIAT,Ducato,FIAT Ducato 35 L2 H2 2.3 1 103 kW Euro 6dtemp,18750,Diésel,2020-01-01,5.0,140,5,Manual,Blanco,Artedo Motor
FIAT,500,FIAT 500 1.2 8v 51kW 69CV Lounge 3p.,9500,Gasolina,2018-01-01,30000.0,69,3,Manual,Blanco,Auto88
TOYOTA,Auris,TOYOTA Auris Hybrid Active 5p.,11200,Híbrido,2014-01-01,84822.0,136,5,Automático,Blanco,CarNext.com
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.6 TDI BMT 5p.,12500,Diésel,2017-01-01,47000.0,110,5,Manual,Gris,8217b8729f2c0f221a1145eae953bc7c
BMW,Serie 4,BMW Serie 4 420d Auto. 2p.,29100,Diésel,2017-01-01,52550.0,190,3,Automático,Negro,Autopremier Central
TOYOTA,Yaris,TOYOTA Yaris 1.5 Hybrid Advance 5p.,12500,Híbrido,2016-01-01,43987.0,100,5,Automático,Rojo,Teams Motor
SUZUKI,Jimny,SUZUKI Jimny 1.5 MODE 3 5MT 3p.,25900,Gasolina,2020-01-01,8200.0,102,3,Manual,Blanco,c973d4a3dbba1ef55d1c6044968fc305
PORSCHE,911,PORSCHE 911 CARRERA 2p.,117999,Gasolina,2020-01-01,5999.0,385,3,Automático,Negro,Importy Garage
NISSAN,QASHQAI,NISSAN QASHQAI DIGT 103 kW 140 CV E6D NCONNECTA 5p.,20900,Gasolina,2019-01-01,12000.0,140,5,Manual,Gris,Rofervigo
JEEP,Renegade,JEEP Renegade Limited 1.3 PHEV 140kW 190CV AT AWD 5p.,37500,Híbrido enchufable,2020-01-01,100.0,190,5,Automático,Azul,Autolíder Ocasión
SEAT,Ateca,SEAT Ateca 1.6 TDI 85kW 115CV StSp Xcellence Eco 5p.,17900,Diésel,2018-01-01,72000.0,115,5,Manual,Blanco,Imporwagen.Com
VOLKSWAGEN,Touran,VOLKSWAGEN Touran Edition 1.6 TDI BMT DSG 5p.,17299,Diésel,2017-01-01,54478.0,115,5,Automático,Gris,Autohero
OPEL,Grandland X,OPEL Grandland X 1.2 Turbo Selective 5p.,21990,Gasolina,2020-01-01,10.0,130,5,Manual,Blanco,Goñi Motor
HYUNDAI,i20,HYUNDAI i20 1.2 MPI 55kW 75CV Essence LE 5p.,11100,Gasolina,2020-01-01,8984.0,75,5,Manual,Rojo,Autovivo
VOLKSWAGEN,Touran,VOLKSWAGEN Touran Advance 2.0 TDI 110kW150CV BMT 5p.,19500,Diésel,2016-01-01,90000.0,150,5,Manual,Gris,Solcar Centro Multimarca
PEUGEOT,508,PEUGEOT 508 5P Allure BlueHDi 96kW 130 SS EAT8 5p.,25990,Diésel,2019-01-01,22200.0,130,5,Automático,Gris,Talleres Angel Raimundo Sl
BMW,X1,BMW X1 sDrive18d 5p.,19850,Diésel,2016-01-01,72000.0,150,5,Automático,Blanco,Ald Automotive
FORD,Focus,FORD Focus 1.5 TDCi E6 88kW Business Sportbreak 5p.,9000,Diésel,2017-01-01,95000.0,120,5,Manual,Blanco,Makrocar
VOLVO,V40,VOLVO V40 2.0 T2 Momentum 5p.,19900,Gasolina,2018-01-01,25961.0,122,5,Manual,Blanco,Grupo Maven e Hijos
RENAULT,Grand Scénic,RENAULT Grand Scenic LIMITED dCi 110 EDC 7p Euro 6 5p.,10900,Diésel,2016-01-01,94000.0,110,5,Manual,Blanco,Innovacar
PEUGEOT,Boxer,PEUGEOT Boxer 435 L4 BlueHDi 120KW 160CV,21950,Diésel,2017-01-01,99950.0,163,3,Manual,Azul,CSV Motor Sevilla
AUDI,A1,AUDI A1 1.4 TDI 90CV Adrenalin 3p.,14400,Diésel,2016-01-01,39611.0,90,3,Manual,Blanco,Fecosauto S.A
HYUNDAI,i30,HYUNDAI i30 1.4 TGDI Tecno Sky DT 5p.,19990,Gasolina,2019-01-01,20877.0,140,5,Automático,Azul,Clicars
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d AMG Line Estate 5p.,26900,Diésel,2016-01-01,57000.0,170,5,Automático,Azul,Cars Barcelona
BMW,Serie 1,BMW Serie 1 116d 5p.,15990,Diésel,2016-01-01,84000.0,116,5,Manual,Blanco,Iridium Cars Madrid
CITROEN,C5 Aircross Hybrid,CITROEN C5 Aircross Hybrid 225 eEAT8 Shine 5p.,42461,Híbrido enchufable,2020-01-01,1.0,225,5,Automático,Gris,CITROËN Tarrauto
OPEL,Crossland X,OPEL Crossland X 1.5D 75kW Design Line 120 Aniversar. SS 5p.,19400,Diésel,2020-01-01,7.0,102,5,Manual,Gris,Movil 5 Sa
CITROEN,C4 Picasso,CITROEN C4 Picasso PureTech 130 SS 6v Feel Edition 5p.,10660,Gasolina,2015-01-01,102143.0,130,5,Manual,Negro,HR Motor Vizcaya
KIA,ceed Sportswagon,KIA ceed Sportswagon 1.0 TGDi 88kW 120CV GT Line EcoDynam 5p.,13000,Gasolina,2018-01-01,56000.0,120,5,Manual,Blanco,3d63b4451139ff94668334590c14c411
BMW,Serie 2 Gran Tourer,BMW Serie 2 Gran Tourer 216d Business 5p.,17000,Diésel,2017-01-01,117000.0,116,5,Automático,Azul,Automóviles Cobeña
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 300 d 4MATIC 5p.,67500,Diésel,2020-01-01,14382.0,245,5,Automático,Negro,ImportarCoche.es
OPEL,Insignia,OPEL Insignia 1.6 CDTI SS 88kW 120CV Business 5p.,11560,Diésel,2017-01-01,58000.0,120,5,Manual,Gris,Autolevel
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS Feel 5p.,26100,Diésel,2019-01-01,0.0,131,5,Manual,Negro,Mael Motor
AUDI,A4,AUDI A4 Avant 2.0 TDI 110kW150CV S tron design 5p.,25900,Diésel,2017-01-01,54000.0,150,5,Automático,Blanco,Automoviles Y Talleres Andres
AUDI,Q5,AUDI Q5 Design 35 TDI 120kW quattro S tronic 5p.,39900,Diésel,2019-01-01,20000.0,163,5,Automático,Plata,TARTIERE AUTO
HYUNDAI,i30,HYUNDAI i30 I30 CW TGDI 1.4 140CV TECNO SKY MY19 5p.,21700,Gasolina,2019-01-01,5400.0,140,5,Manual,Blanco,Grupo Iberica
RENAULT,Kadjar,RENAULT Kadjar Zen Energy dCi 96kW 130CV 5p.,17490,Diésel,2017-01-01,37200.0,130,5,Manual,Negro,CarPlus
NISSAN,PULSAR,NISSAN PULSAR 1.5dCi 110CV NTEC 5p.,9500,Diésel,2015-01-01,27000.0,110,5,Manual,Gris,e8f8dbcae71a34ab017599c1011b6640
FORD,C-Max,FORD CMax 1.5 TDCi 88kW 120CV Business 5p.,16500,Diésel,2019-01-01,16500.0,120,5,Manual,Negro,Almoauto
FIAT,Doblò,FIAT Doblo Panorama Pop N1 1.3 Multijet 70kW 95CV,10300,Diésel,2017-01-01,69300.0,95,5,Manual,Rojo,Taller Mula Motor
TOYOTA,C-HR,TOYOTA C-HR 1.8 125H Advance 5p.,20900,Híbrido,2017-01-01,85000.0,122,5,Automático,Negro,78e744abb412fb7c9e90182e2b533360
FIAT,500C,FIAT 500C Lounge 1.2 8v 51KW 69 CV MTA 2p.,12750,Gasolina,2019-01-01,25794.0,69,3,Automático,Blanco,Clickautos
BMW,Serie 3,BMW Serie 3 320D TOURING 5p.,20990,Diésel,2015-01-01,69000.0,190,5,Manual,Gris,TOP CAR
AUDI,A1,AUDI A1 30 TFSI 85kW 116CV Sportback 5p.,22900,Gasolina,2019-01-01,21000.0,116,5,Manual,Negro,Auto Suministros Costa
BMW,Serie 1,BMW Serie 1 116d EfficientDynamics 5p.,14250,Diésel,2016-01-01,85000.0,116,5,Manual,Blanco,ALD Sevilla
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 220 d Shooting Brake 5p.,22950,Diésel,2017-01-01,103481.0,177,5,Automático,Blanco,Stern Motor
NISSAN,QASHQAI,NISSAN QASHQAI DIGT 117 kW 160 CV E6D DCT NCONNECTA 5p.,28088,Gasolina,2020-01-01,10.0,160,5,Automático,Negro,Caetano Reicomsa
BMW,Serie 1,BMW Serie 1 116d 5p.,24500,Diésel,2019-01-01,13009.0,116,5,Manual,Negro,Autogal
MITSUBISHI,Outlander,MITSUBISHI Outlander 2.4 PHEV Kaiteki Auto 4WD MY19.5 5p.,37400,Híbrido enchufable,2019-01-01,30000.0,224,5,Automático,Blanco,Flexicar Mostoles
NISSAN,PULSAR,NISSAN PULSAR 1.5dCi ACENTA 5p.,11699,Diésel,2017-01-01,27232.0,110,5,Manual,Negro,Autohero
